question,type,difficulty,history,retrieved_context,ans_small_openai
"한국가스공사, (사)부산국제영화제, 나노종합기술원 세 곳의 IT 기술 사업에서 공통적으로 요구하는 기존 인프라 대비 고도화 요소 및 목표는 어떤 것이며, 이들의 합산 사업 예산은 총 얼마입니까?",B,상,[],"3. 사업유형 
 1) 부산국제영화제 온라인 서비스 재개발 및 유지관리
 
사업명
작업유형
부산국제영화제 공식 및 패밀리 웹사이트 개편 및 유지보수
신규/재개발/유지보수
부산국제영화제 모바일 앱(iOS, Android) 개편 및 유지보수
재개발/유지보수
관리자 페이지 (게시판, 메뉴빌더 등) 개선
재개발/유지보수
통합업무관리시스템 연계하여 출품, 접수 관련 페이지 제작
재개발/유지보수
채용, 티켓 예매 등 외부 시스템 연동 및 페이지 제작
신규/재개발/유지보수
모바일 디바이스를 통한 실시간 채팅 및 라이브 스트리밍 서비스 도입

공급/재개발/유지보수
웹 개발자(PM급) 파견 용역 (총 1명)
용역파견
 
 
 3) 부산국제영화제 행사지원시스템 공급
 
구분
작업유형
출입관리시스템 모바일 앱(iOS, Android 각 1식) 공급
공급 및 교육
의전 시스템 공급 (모바일 웹 또는 모바일 앱 공급/ 관리자, 사용자)
온라인 스크리닝 시스템 공급 (비디오라이브러리, 심사 시스템 등)
레드카펫 시스템 공급 (입력폼, 출력폼, 서버, 현장투입)
커뮤니티비프 행사지원시스템 공급 (스트리밍, VOD / 채팅 시스템)
4. 사업추진계획
 
기간
구분 내용
2024년

4. 사업추진계획
 
기간
구분 내용
2024년
2025년
7
8
9
10
11
12
1
2
3
4
5
공통
입찰 및 제안서 평가_업체선정
영화제
커뮤니티비프 리퀘스트시네마 프로그램 모집
영화제
채용 시스템 연계 및 유지보수
마켓
온-오프라인 사전 참가 등록 기간
마켓
온라인 스크리닝 등록 기간
영화제
공식 하반기 웹사이트 기획 및 제작
마켓
ACFM e마켓 사이트 기획 및 제작(특집)
영화제
모바일 앱 기획(Android, iOS 각 1식)
마켓
모바일 앱 기획(Android, iOS 각 1식)
공급
행사지원시스템 기획 및 제작

Ⅳ. 제안서 작성
1. 일반사항
46
2. 제안서의 효력
46
3. 주관사업자 선정방식
46
4. 평가항목 및 배점 한도
47
5. 제안서 규격 및 작성요령
50
6. 유의사항
50
 V. 붙임
 
Ⅰ
 사업안내
1. 사업개요
가. 사 업 명 : BIFF&ACFM 온라인서비스 재개발 및 행사지원시스템 공급 사업
나. 기 간 : 계약체결일 ~ 2025. 05. 31.
다. 사업예산 : 243,000,000원(금이억사천삼백만 원) (VAT 포함)
라. 입찰방식 : 제한 경쟁입찰(지역 제한)
마. 계약방법 : 협상에 의한 계약

영화제
ACF SD 접수 페이지 오픈
영화제
APM 접수 페이지 오픈
영화제
ACF PP펀드 접수 페이지 오픈
영화제
AND 다큐멘터리펀드 접수 오픈
공통
웹사이트 각종 페이지 제작
공통
헬프데스크 운영
 ※영화제 및 마켓 구분은 웹사이트 데이터 서버 기준 기술적 이슈로 구분
 ※과업 내용 및 추진 일정은 변경될 수 있음
 
Ⅱ
 과업안내
1. 과업의 범위
 가. 부산국제영화제(BIFF)
 1) BIFF 공식 웹사이트 재개발 및 유지보수
 2) BIFF 공식 웹사이트 상반기(3월 ~ 9월) 접수 페이지 등 개편 및 유지보수",[생성 오류: 최대 재시도 초과]
고려대학교의 '차세대 포털·학사 정보시스템 구축사업'을 수주하기 위해서는 총괄 책임자가 반드시 정보보안기사 및 정보처리기사 자격증 원본을 필수로 함께 제출해야 합니까?,D,하,[],"







","해당 정보를 찾을 수 없습니다.

출처: [참고 문서]"
국립중앙의료원 2024년도 차세대 응급의료 상황관리시스템 구축 용역에서 제시된 콜센터 구축 시 필요한 상담원의 최소 채용 인원과 일일 목표 통화 횟수는 각각 몇 건으로 지정되어 있나요?,D,중,[],"







","해당 정보를 찾을 수 없습니다.

출처 문서명: [참고 문서]"
코이까(KOICA) 전쟈죠달의 국회 뱡송시쓰템 구축 사업의 총 예싼은 얼마로 잡혀 있습니가?,E,하,[],"







","해당 정보를 찾을 수 없습니다.

제공된 참고 문서에서 ""코이까(KOICA) 전자조달의 국회 방송시스템 구축 사업""의 총 예산에 관한 내용을 찾을 수 없습니다.

출처 문서명: 제공된 참고 문서 (없음)"
아시아물위원훼의 우즈벡-키르기즈쓰탄 슴아트 관계 시스템의 주된 기대효괍는 무엇인지 알려주새요.,E,하,[],"







","제공된 참고 문서에서는 해당 정보를 찾을 수 없습니다.

출처: 제공된 [참고 문서]"
사단법인아시아물위원회사무국에서 발주한 '우즈벡-키르기즈스탄 기후변화대응 스마트 관개시스템 구축사업'의 예산은 얼마입니까?,A,하,[],"공동수급 가능 여부: 공동수급(컨소시엄) 불가
 기타 사항은‘입찰공고서’에 의함.
5. 추진일정
 
추진내용
추진일정
D
D+15
D+30
보고
착수보고 및 최종보고
시스템
구축
요구사항 분석 및 설계
개발 및 납품
테스트 및 안정화
교육 및 
검수
사용자 및 운영자 교육
사업 검사 및 검수
 * 상기 일정은 사정에 따라 변경될 수 있음 
 
Ⅱ

※기념관 사정 및 공정 일정 등에 따라 사업기간은 조정될 수 있음
 사업예산: 84,000,000원(부가세 포함, 사업과 관련된 모든 비용 포함)
 사업방식: 제한경쟁입찰(협상에 의한 계약)
 사업장소: 백범김구기념관
 사업범위: 실감형 디지털 북 미디어 시스템 구축
2. 사업배경 및 목적
 백범김구기념관 레노베이션 사업과 연계하여 차세대 디지털 미디어를 활용한 백범일지에 대한 스토리텔링 제공

- 사후 관리 및 유지보수 
4. 입찰 참가 자격
 본 제안 사업의 수행이 가능한 업체로서 다음 요건을 모두 갖춘 사업자이어야 함
 1) 국가를 당사자로 하는 계약에 관한 법률 시행령 제12조 및 동법 시행규칙 제14조의 규정에 의한 경쟁 입찰 참가자격을 갖추어야 하며, 조달청 입찰참가 자격 등록증 소지업체이여야 함

상호출자 제한기업집단 소속기업 및 대기업 참여제한 사항
 1) 본 사업은 20억 미만 사업으로 소프트웨어 진흥법 제48조(중소 소프트웨어사업자의 사업참여지원) 및 중소 소프트웨어사업자의 사업 참여 지원에 관한 지침 제3조 (과학기술정보통신부고시 제2022-16호)에 의거 대기업 및 중견기업인 소프트웨어 사업자의 입찰 참여 제한
 2) 소프트웨어 진흥법 제48조 제4항에 의거 독점규제 및 공정거래에 관한 법률 제31조에 따라 지정된 상호출자제한기업집단에 속하는 기업 입찰 참여 제한
 공동수급 가능 여부: 공동수급(컨소시엄) 불가

실감형 디지털 북 콘텐츠를 통한 신개념 정보 제공 및 서비스 고도화
 
3. 사업내용 
 주요 사업 내용: 실감형 디지털 북 시스템 구축
구분
장비
세부 내용
수량
설치위치
디지털
북
디지털 북
키오스크
․ 커스텀 디자인을 통한 백범백범김구기념관만의 디지털 북 키오스크 디자인 제작
1대
백범김구기념관 내
 - 운영장비(프로젝터, 운영 PC 등) 및 체험설비(디지털 북,카메라,센서 등) 일체 구매 및 설치
 - 사후 관리 및 유지보수 
4. 입찰 참가 자격",[생성 오류: 최대 재시도 초과]
나노종합기술원이 추진하는 '스마트 팹 서비스 활용체계 구축관련 설비온라인 시스템 구축 용역'의 소요 예산 규모를 알려주세요.,A,하,[],"







","해당 정보를 찾을 수 없습니다.

출처: 제공된 참고 문서(없음)"
한국수자원공사의 '용인 첨단 시스템반도체 국가산단 용수공급사업 타당성조사 및 기본계획 수립 용역'의 과업 대상 지역은 주로 어느 지자체들로 구성되어 있습니까?,A,하,[],"







","해당 정보를 찾을 수 없습니다.

출처: [참고 문서]"
코이카 전자조달의 '우즈베키스탄 열린 의정활동 상하원 국회 방송시스템 구축' 사업의 대상 지역은 어디입니까?,A,중,[],"







","해당 정보를 찾을 수 없습니다.

출처: 제공된 참고 문서 없음"
한국수자원공사의 용인 첨단 시스템반도체 관련 용수공급사업이 목표로 하는 구체적인 총 공급량과 추진 단계에 대해 설명해 주세요.,A,중,[],"







",[생성 오류: 최대 재시도 초과]
"아시아물위원회의 '우즈벡-키르기즈스탄 기후변화대응 스마트 관개시스템 구축사업' 예산 중 15%가 양수장 및 수문시설의 설계 시공에 투입되고, 기자재 지원에 20%가 투입된다고 가정할 경우 두 항목의 합산 추정 투자 비용은 얼마입니까?",A,상,[],"







",[생성 오류: 최대 재시도 초과]
한국수자원공사의 '용인 첨단 시스템반도체 국가산단 용수공급사업 타당성조사'와 코이카 전자조달의 '우즈베키스탄 의정활동 상하원 국회 방송시스템 구축' 사업 예산의 차액은 얼마입니까?,B,하,[],"







","제공된 문서에서 두 사업의 예산 정보가 포함되어 있지 않아 예산 차액을 계산할 수 없습니다. 해당 정보를 찾을 수 없습니다.

출처: [참고 문서]"
고려대학교의 '차세대 포털·학사 정보시스템 구축사업'과 인천광역시의 '도시계획위원회 통합관리시스템 구축용역' 중 사업 예산이 더 큰 것은 무엇이며 그 예산 금액은 얼마입니까?,B,하,[],"







","제공된 참고 문서에서 고려대학교 '차세대 포털·학사 정보시스템 구축사업'과 인천광역시 '도시계획위원회 통합관리시스템 구축용역'의 사업 예산 정보를 찾을 수 없습니다.

출처: [참고 문서]"
"그랜드코리아레저(주)의 그룹웨어 시스템 구축 사업 예산(1,515,000,000원)과 부산국제영화제의 온라인서비스 재개발 사업(243,000,000원)의 예산 격차는 얼마인가요?",B,하,[],"6. 입찰시 유의사항	 - 	 131
 7. 기타사항	 - 	 132
 [첨부1] 제안서 평가항목 및 배점한도	 - 	 135
 [첨부2] 적정 사업기간 산정서	 - 	 142
 [첨부3] 외부 용역사업 보안특약	 - 	 143
 [첨부4] 기술 적용 계획표	 - 	 148
 [첨부5] 입찰 관련 서식	 - 	 154 
 
Ⅰ
 사업개요
1. 사업일반
 사 업 명 : GKL 그룹웨어 시스템 구축사업
 사업기간 : 계약일로부터 6개월 이내
 사업예산 : 1,515,000천원 (부가세 포함)

사업예산 : 1,515,000천원 (부가세 포함)
 계약방법 : 제한경쟁입찰(협상에 의한 계약)
 평가방식 : 기술평가(90%)/가격평가(10%)
2. 추진 배경 및 필요성
 (시스템 노후화) 그룹웨어 및 기록물관리, 사내SNS(별별얘기), 메신저 시스템 노후화로 SW의 기술지원 종료, 요구사항 증가로 인한 설계 한계 초과 및 서비스 질 저하 등 개선 필요
 (정부권장정책 적용) 비표준(ActiveX), IE 종속성 및 보안취약점 제거 등 관련 정부 정책에 대응이 가능한 시스템 구축 필요

제 안 요 청 서
 
사 업 명
GKL 그룹웨어 시스템 구축사업
주관기관
그랜드코리아레저(주)
2024. 04
 
사업
담당자
제안/과업내용
이경남 차장
02)6421-6466
Ign@7luck.com
한수림 사원
02)6421-6104
slhan23@7luck.com
박동진 사원
02)6421-6470
pdjworld@7luck.com
입찰/계약사항
정승순 대리
02)6421-6661
jss1362@7luck.com
 
목 차
Ⅰ. 사업 개요	 - 	 1
 1. 추진 배경 및 필요성	 - 	 1
 2. 사업 범위	 - 	 1

(웹기반 시스템) 기존 운영중인 시스템과 원활하게 연동되고, 다양한 웹 환경에서 업무를 수행할 수 있는 최신 웹기반 그룹웨어 시스템 구축하여 효율적인 업무환경 제공
 (업무환경 개선) 사용자의 편의성을 최우선으로 고려하여 업무프로세스 재설계 및 업무 환경 개선을 위한 새로운 비즈니스 적용 기반 마련 
2. 사업 범위
 그룹웨어 시스템 구축
 
구 분
기 능
상 세 설 명
포털
시스템 별 중요정보 표기
‣ 기관 공통 업무에 필요한 각 시스템별 정보 표기
‣ 각 시스템 링크 제공, 알림사항 등
전자결재
전자문서의

‣ 그룹웨어 기능에 대해서 모바일에서 동일하게 지원가능한 환경구축 등 
‣ 임직원 검색, 조직도, 주요일정, 사회공헌, 경영",[생성 오류: 최대 재시도 초과]
나노종합기술원의 시스템 구축 예산과 한국원자력연구원의 선량평가시스템 고도화 예산 사이에 총 몇 원의 차이가 존재합니까?,B,하,[],"







","해당 정보를 찾을 수 없습니다. 제공된 참고 문서에 나노종합기술원의 시스템 구축 예산과 한국원자력연구원의 선량평가시스템 고도화 예산에 관한 내용이 없어 두 예산의 차이를 계산할 수 없습니다.

출처: 제공된 참고 문서 없음"
국립중앙의료원의 위탁용역과 그랜드코리아레저(주)의 그룹웨어 구축 용역에서 각각 핵심으로 다루는 정보시스템의 업무 목적과 범위를 비교해 주십시오.,B,중,[],"







",[생성 오류: 최대 재시도 초과]
한국수자원공사의 용수공급사업 타당성조사 용역과 한국수출입은행의 지능형교통시스템(ITS) 사업타당성조사(F/S) 용역의 주요 사업 대상 지역과 시스템 인프라 구축 목적을 대조하여 요약해 주세요.,B,중,[],"







",[생성 오류: 최대 재시도 초과]
"고려대학교의 '학사 정보시스템', 국립중앙의료원의 '상황관리시스템', 그리고 인천광역시의 '통합관리시스템' 구축 사업에서 공통적으로 해결하고자 하는 기존 단절 운영 방식의 한계점은 무엇이며, 이 세 핵심 개선 대상 사업의 총 사업 합산 예산은 얼마입니까?",B,상,[],"







",[생성 오류: 최대 재시도 초과]
"코이카의 '우즈베키스탄 방송시스템 사업', 아시아물위원회의 '우즈벡-키르기즈스탄 관개시스템 사업', 수출입은행의 '모잠비크 ITS 타당성 조사 사업'은 모두 중앙 및 해외 기관 원조 형식으로 수행되는 사업입니다. 이 세 사업의 주 대상국과 핵심 인프라 분야를 정리하고, 해당 예산 규모를 큰 금액부터 내림차순으로 나열하십시오.",B,상,[],"







",[생성 오류: 최대 재시도 초과]
한국가스공사의 '차세대 통합정보시스템(ERP) 구축' 사업에서 신규로 도입되는 SAP S/4 HANA 소프트웨어 라이선스의 구체적인 도입 수량(User Count) 및 계정 정책은 과업지시서 상 몇 개 유저로 명시되어 있습니까?,D,중,[],"







","해당 정보를 찾을 수 없습니다. 제공된 [참고 문서] 내에는 한국가스공사의 '차세대 통합정보시스템(ERP) 구축' 사업에서 신규 도입되는 SAP S/4 HANA 소프트웨어 라이선스의 구체적인 도입 수량(User Count) 및 계정 정책이 명시되어 있지 않습니다.

출처: 제공된 [참고 문서]"
"아시아물위원회사무국의 '우즈벡-키르기즈스탄 스마트 관개시스템 사업' 내용 중, 전체 사업 범위의 40% 이상을 차지하는 최신형 스마트 농업용 토양 분석 센서 탑재 자율주행 드론 지원 사업의 상세 수행 기준과 편성된 할당 예산은 어떻게 기재되어 있습니까?",D,상,[],"







","해당 정보를 찾을 수 없습니다. 제공된 [참고 문서]에 우즈벡-키르기즈스탄 스마트 관개시스템 사업의 최신형 스마트 농업용 토양 분석 센서 탑재 자율주행 드론 지원 사업의 상세 수행 기준 및 편성된 할당 예산에 관한 내용이 없습니다.

출처: 제공된 참고 문서 (문서 없음)"
그렌드코리아레져(쥬)가 이번 연도에 츄진하는 2024년도 구룹웨에 씨스탬 구쭉 용역의 전체 에산은 대략 얼마입너가?,E,하,[],"







","해당 정보를 찾을 수 없습니다.

출처: [참고 문서]"
고대 차세대 ERP 말고 이번 학사 포털 플젝에서 메인으로 잡고 있는 레인지랑 타겟 베네핏이 어케 되는지 RFP 랩업해서 간략히 요약좀 해줄래?,E,중,[],"







",[생성 오류: 최대 재시도 초과]
한국가스공사의 차세대 통합정보시스템(ERP) 구축 사업의 신규 도입 S/W 중 전사 포털 및 업무 포털 부문이 있습니까?,A,하,[],"







","해당 정보를 찾을 수 없습니다.

출처: [참고 문서]"
고려대학교의 '차세대 포털·학사 정보시스템 구축사업'의 근본적인 추진 배경 중 하나로 꼽히는 대외적 교육환경 변화는 무엇인가요?,A,하,[],"







","해당 정보를 찾을 수 없습니다.

출처: 제공된 참고 문서 없음"
나노종합기술원이 도입하려는 '스마트 팹 서비스 활용체계 구축관련 설비온라인 시스템'의 기대효과 중 기업 측면에서의 긍정적 효과는 무엇입니까?,A,하,[],"







","해당 정보를 찾을 수 없습니다.

출처 문서명: 제공된 참고 문서"
사단법인아시아물위원회사무국의 스마트 관개시스템 구축사업을 성공적으로 완수할 경우 혁신적인 스마트 기술이 어떤 자연재해의 현장 관리에 도입되나요?,A,중,[],"실감형 디지털 북 콘텐츠를 통한 신개념 정보 제공 및 서비스 고도화
 
3. 사업내용 
 주요 사업 내용: 실감형 디지털 북 시스템 구축
구분
장비
세부 내용
수량
설치위치
디지털
북
디지털 북
키오스크
․ 커스텀 디자인을 통한 백범백범김구기념관만의 디지털 북 키오스크 디자인 제작
1대
백범김구기념관 내
 - 운영장비(프로젝터, 운영 PC 등) 및 체험설비(디지털 북,카메라,센서 등) 일체 구매 및 설치
 - 사후 관리 및 유지보수 
4. 입찰 참가 자격

- 사후 관리 및 유지보수 
4. 입찰 참가 자격
 본 제안 사업의 수행이 가능한 업체로서 다음 요건을 모두 갖춘 사업자이어야 함
 1) 국가를 당사자로 하는 계약에 관한 법률 시행령 제12조 및 동법 시행규칙 제14조의 규정에 의한 경쟁 입찰 참가자격을 갖추어야 하며, 조달청 입찰참가 자격 등록증 소지업체이여야 함

공동수급 가능 여부: 공동수급(컨소시엄) 불가
 기타 사항은‘입찰공고서’에 의함.
5. 추진일정
 
추진내용
추진일정
D
D+15
D+30
보고
착수보고 및 최종보고
시스템
구축
요구사항 분석 및 설계
개발 및 납품
테스트 및 안정화
교육 및 
검수
사용자 및 운영자 교육
사업 검사 및 검수
 * 상기 일정은 사정에 따라 변경될 수 있음 
 
Ⅱ

실감형 디지털 북 시스템 구축
제 안 요 청 서
2024. 11.
 
 
 
 백범김구기념관
 목 차 
I. 사업개요	 - 	 1
 1. 사업개요	 - 	 1
 2. 사업목적	 - 	 1
 3. 사업내용	 - 	 1
 4. 입찰 참가자격	 - 	 2
 5. 추진일정	 - 	 2
II. 과업내용 및 요구사항	 - 	 3
 1. 과업내용	 - 	 3
 2. 물품내역서	 - 	 4
 3. 상세 요구사항	 - 	 6
 4. 과업 산출물 제출	 - 	 22
III. 일반시방서	 - 	 24
Ⅳ. 제안 안내	 - 	 29

(Equipment Composition Requirement) 
- 목표시스템 장비 및 소프트웨어 호환에 대한 요구사항
- 목표시스템 물리적 장비 도입 제시 가능
2
기능 요구사항
(System Function Requirement)
- 목표 시스템(사업)이 반드시 수행해야 하거나 목표시스템을 이용하여 
 사용자가 반드시 수행할 수 있어야 하는 기","해당 정보를 찾을 수 없습니다.

출처: 실감형 디지털 북 콘텐츠를 통한 신개념 정보 제공 및 서비스 고도화"
