question,type,history,kure_openai_avg_faithfulness,kure_openai_avg_relevance,kure_openai_avg_rejection,kure_openai_avg_correctness,kure_openai_avg_context_precision,kure_openai_avg_context_recall,small_openai_avg_faithfulness,small_openai_avg_relevance,small_openai_avg_rejection,small_openai_avg_correctness,small_openai_avg_context_precision,small_openai_avg_context_recall,kure_gemma_avg_faithfulness,kure_gemma_avg_relevance,kure_gemma_avg_rejection,kure_gemma_avg_context_precision,kure_gemma_avg_correctness,kure_gemma_avg_context_recall,kure_phi_avg_faithfulness,kure_phi_avg_relevance,kure_phi_avg_rejection,kure_phi_avg_context_precision,kure_phi_avg_correctness,kure_phi_avg_context_recall,kure_qwen_avg_faithfulness,kure_qwen_avg_relevance,kure_qwen_avg_rejection,kure_qwen_avg_context_precision,kure_qwen_avg_correctness,kure_qwen_avg_context_recall,koe5_gemma_avg_faithfulness,koe5_gemma_avg_relevance,koe5_gemma_avg_rejection,koe5_gemma_avg_context_precision,koe5_gemma_avg_correctness,koe5_gemma_avg_context_recall,koe5_phi_avg_faithfulness,koe5_phi_avg_relevance,koe5_phi_avg_rejection,koe5_phi_avg_context_precision,koe5_phi_avg_correctness,koe5_phi_avg_context_recall,koe5_qwen_avg_faithfulness,koe5_qwen_avg_relevance,koe5_qwen_avg_rejection,koe5_qwen_avg_context_precision,koe5_qwen_avg_correctness,koe5_qwen_avg_context_recall,koe5_openai_avg_faithfulness,koe5_openai_avg_relevance,koe5_openai_avg_rejection,koe5_openai_avg_context_precision,koe5_openai_avg_correctness,koe5_openai_avg_context_recall,small_gemma_avg_faithfulness,small_gemma_avg_relevance,small_gemma_avg_rejection,small_gemma_avg_context_precision,small_gemma_avg_correctness,small_gemma_avg_context_recall,small_phi_avg_faithfulness,small_phi_avg_relevance,small_phi_avg_rejection,small_phi_avg_context_precision,small_phi_avg_correctness,small_phi_avg_context_recall,small_qwen_avg_faithfulness,small_qwen_avg_relevance,small_qwen_avg_rejection,small_qwen_avg_context_precision,small_qwen_avg_correctness,small_qwen_avg_context_recall
코이카 전자조달의 우즈베키스탄 방송시스템 사업과 아시아물위원회 사무국의 스마트 관개시스템 사업의 구축 대상 국가와 분야를 비교 설명해 주십시오.,B,[],2,3,3,,3,,2,2,3,,2,,1,4,1,4,,,5,2,5,5,,,1,2,5,4,,,1,5,1,4,,,1,3,5,2,,,1,3,5,1,,,2,3,3,3,,,1,5,1,5,,,5,1,5,5,,,1,2,5,5,,
나노종합기술원의 스마트 팹 서비스 관련 설비온라인 사업과 부산국제영화제의 BIFF & ACFM 온라인서비스 재개발 사업의 추진 목적 및 예상되는 기대효과를 대비해서 요약해 주세요.,B,[],1,2,5,,4,,4,3,5,,2,,5,1,5,5,,,5,1,5,5,,,1,2,5,1,,,1,3,5,5,,,1,3,1,1,,,1,2,5,1,,,4,2,5,4,,,1,2,3,5,,,1,2,1,5,,,1,1,5,5,,
"고려대학교의 '차세대 포털·학사 정보시스템', 그랜드코리아레저(주)의 '그룹웨어 시스템', 인천광역시의 '통합관리시스템 구축' 세 기관의 정보화 구축 사업에서 각 플랫폼이 가장 우선시하는 핵심 개선 목적 영역은 무엇이며, 각 사업별 예산을 기술해 주십시오.",B,[],3,1,5,,1,,1,2,5,,2,,5,1,5,1,,,5,2,5,5,,,5,1,5,5,,,1,2,5,5,,,5,1,5,4,,,1,2,5,1,,,2,1,5,1,,,1,2,3,5,,,5,1,5,1,,,1,3,3,5,,
"한국가스공사, (사)부산국제영화제, 나노종합기술원 세 곳의 IT 기술 사업에서 공통적으로 요구하는 기존 인프라 대비 고도화 요소 및 목표는 어떤 것이며, 이들의 합산 사업 예산은 총 얼마입니까?",B,[],1,2,5,,3,,1,4,5,,3,,3,2,3,4,,,2,2,1,2,,,2,2,3,4,,,1,2,3,3,,,1,2,1,4,,,1,2,5,2,,,2,2,3,3,,,1,1,5,2,,,1,2,1,3,,,1,3,1,3,,
고려대학교의 '차세대 포털·학사 정보시스템 구축사업'을 수주하기 위해서는 총괄 책임자가 반드시 정보보안기사 및 정보처리기사 자격증 원본을 필수로 함께 제출해야 합니까?,D,[],3,3,5,,1,,2,4,5,,1,,5,3,5,1,,,5,3,5,5,,,5,2,5,5,,,1,5,5,1,,,5,2,5,5,,,1,3,5,1,,,1,3,5,1,,,1,5,5,5,,,5,3,5,1,,,1,2,5,5,,
국립중앙의료원 2024년도 차세대 응급의료 상황관리시스템 구축 용역에서 제시된 콜센터 구축 시 필요한 상담원의 최소 채용 인원과 일일 목표 통화 횟수는 각각 몇 건으로 지정되어 있나요?,D,[],2,1,5,,1,,1,1,5,,1,,5,2,5,5,,,5,2,5,1,,,5,1,5,5,,,5,1,5,5,,,5,2,5,5,,,1,3,5,1,,,1,1,5,1,,,1,2,5,5,,,5,2,5,5,,,5,2,5,5,,
코이까(KOICA) 전쟈죠달의 국회 뱡송시쓰템 구축 사업의 총 예싼은 얼마로 잡혀 있습니가?,E,[],5,2,5,,1,,2,2,5,,2,,5,2,5,1,,,5,2,5,1,,,1,5,1,1,,,3,4,5,1,,,5,2,5,1,,,1,2,5,1,,,2,2,5,1,,,5,2,5,1,,,5,2,5,1,,,1,3,5,1,,
아시아물위원훼의 우즈벡-키르기즈쓰탄 슴아트 관계 시스템의 주된 기대효괍는 무엇인지 알려주새요.,E,[],3,2,3,,1,,2,4,5,,1,,5,1,5,1,,,5,2,5,1,,,5,2,5,1,,,1,2,5,1,,,5,1,5,1,,,5,2,5,1,,,5,1,1,1,,,1,1,1,1,,,5,2,5,1,,,1,3,5,1,,
사단법인아시아물위원회사무국에서 발주한 '우즈벡-키르기즈스탄 기후변화대응 스마트 관개시스템 구축사업'의 예산은 얼마입니까?,A,[],5,3,5,,1,,1,2,5,,1,,5,2,5,1,,,5,2,5,1,,,1,3,5,1,,,1,3,5,1,,,5,3,5,1,,,1,2,5,1,,,1,1,5,1,,,1,2,5,1,,,5,3,5,1,,,2,2,5,1,,
나노종합기술원이 추진하는 '스마트 팹 서비스 활용체계 구축관련 설비온라인 시스템 구축 용역'의 소요 예산 규모를 알려주세요.,A,[],5,5,5,,5,,5,5,5,,5,,5,2,5,1,,,5,2,5,1,,,1,2,5,1,,,1,5,1,1,,,1,5,1,1,,,1,5,1,1,,,5,5,5,5,,,1,5,1,1,,,1,5,1,1,,,1,5,1,1,,
한국수자원공사의 '용인 첨단 시스템반도체 국가산단 용수공급사업 타당성조사 및 기본계획 수립 용역'의 과업 대상 지역은 주로 어느 지자체들로 구성되어 있습니까?,A,[],5,5,5,,5,,5,5,5,,5,,5,2,5,5,,,5,2,5,1,,,5,1,5,1,,,1,5,1,1,,,1,5,1,1,,,1,5,1,4,,,5,5,5,5,,,1,5,1,5,,,1,5,1,1,,,1,5,1,1,,
코이카 전자조달의 '우즈베키스탄 열린 의정활동 상하원 국회 방송시스템 구축' 사업의 대상 지역은 어디입니까?,A,[],5,5,5,,1,,1,2,5,,1,,5,2,5,1,,,5,2,5,1,,,5,2,5,1,,,1,4,1,1,,,5,2,5,1,,,1,4,3,1,,,2,1,5,1,,,5,2,5,1,,,5,2,5,1,,,1,2,5,1,,
한국수자원공사의 용인 첨단 시스템반도체 관련 용수공급사업이 목표로 하는 구체적인 총 공급량과 추진 단계에 대해 설명해 주세요.,A,[],5,5,5,,5,,5,5,5,,5,,5,1,5,4,,,5,2,5,1,,,5,1,5,1,,,1,5,1,1,,,1,5,1,5,,,1,5,1,1,,,5,5,5,5,,,1,5,1,1,,,1,5,1,1,,,1,5,1,1,,
"아시아물위원회의 '우즈벡-키르기즈스탄 기후변화대응 스마트 관개시스템 구축사업' 예산 중 15%가 양수장 및 수문시설의 설계 시공에 투입되고, 기자재 지원에 20%가 투입된다고 가정할 경우 두 항목의 합산 추정 투자 비용은 얼마입니까?",A,[],4,5,5,,1,,2,3,5,,4,,5,1,5,5,,,5,1,5,5,,,1,4,1,1,,,1,1,5,5,,,5,5,5,5,,,1,5,1,5,,,1,5,1,2,,,1,1,1,5,,,1,5,1,1,,,1,3,3,2,,
한국수자원공사의 '용인 첨단 시스템반도체 국가산단 용수공급사업 타당성조사'와 코이카 전자조달의 '우즈베키스탄 의정활동 상하원 국회 방송시스템 구축' 사업 예산의 차액은 얼마입니까?,B,[],2,2,5,,1,,1,2,5,,1,,1,5,1,4,,,5,1,5,2,,,1,1,5,2,,,5,1,5,1,,,5,2,5,1,,,1,3,3,1,,,1,2,5,1,,,5,2,5,2,,,5,2,5,4,,,5,2,5,1,,
고려대학교의 '차세대 포털·학사 정보시스템 구축사업'과 인천광역시의 '도시계획위원회 통합관리시스템 구축용역' 중 사업 예산이 더 큰 것은 무엇이며 그 예산 금액은 얼마입니까?,B,[],1,1,5,,1,,1,1,5,,1,,5,1,5,5,,,5,2,5,1,,,1,1,5,1,,,1,3,5,1,,,5,2,5,5,,,5,3,5,5,,,1,1,5,1,,,1,1,5,5,,,5,1,5,5,,,1,2,5,1,,
"그랜드코리아레저(주)의 그룹웨어 시스템 구축 사업 예산(1,515,000,000원)과 부산국제영화제의 온라인서비스 재개발 사업(243,000,000원)의 예산 격차는 얼마인가요?",B,[],1,1,5,,2,,3,2,5,,2,,1,5,1,5,,,1,5,1,4,,,2,5,1,4,,,2,2,3,4,,,1,5,1,2,,,1,5,1,4,,,2,3,3,5,,,1,2,3,3,,,1,5,1,3,,,2,5,1,5,,
나노종합기술원의 시스템 구축 예산과 한국원자력연구원의 선량평가시스템 고도화 예산 사이에 총 몇 원의 차이가 존재합니까?,B,[],4,3,5,,3,,1,3,5,,3,,5,1,5,1,,,5,1,5,1,,,5,2,5,1,,,5,1,5,1,,,5,1,5,1,,,1,1,5,1,,,1,3,5,4,,,1,3,5,1,,,5,1,5,1,,,1,3,5,1,,
국립중앙의료원의 위탁용역과 그랜드코리아레저(주)의 그룹웨어 구축 용역에서 각각 핵심으로 다루는 정보시스템의 업무 목적과 범위를 비교해 주십시오.,B,[],3,2,5,,2,,1,1,5,,1,,5,1,5,1,,,1,2,5,1,,,1,2,5,2,,,1,3,5,5,,,1,4,1,1,,,1,2,1,1,,,3,3,5,1,,,1,2,5,1,,,1,2,1,1,,,1,2,1,5,,
한국수자원공사의 용수공급사업 타당성조사 용역과 한국수출입은행의 지능형교통시스템(ITS) 사업타당성조사(F/S) 용역의 주요 사업 대상 지역과 시스템 인프라 구축 목적을 대조하여 요약해 주세요.,B,[],1,2,5,,1,,2,2,5,,2,,1,2,1,1,,,5,1,5,5,,,1,4,5,5,,,1,3,5,1,,,2,2,5,1,,,1,1,1,4,,,2,2,5,2,,,1,2,5,1,,,1,2,1,2,,,1,2,1,1,,
"고려대학교의 '학사 정보시스템', 국립중앙의료원의 '상황관리시스템', 그리고 인천광역시의 '통합관리시스템' 구축 사업에서 공통적으로 해결하고자 하는 기존 단절 운영 방식의 한계점은 무엇이며, 이 세 핵심 개선 대상 사업의 총 사업 합산 예산은 얼마입니까?",B,[],1,1,3,,1,,1,1,5,,1,,5,1,5,5,,,5,1,5,5,,,1,2,5,5,,,1,2,5,5,,,5,1,5,5,,,1,1,5,5,,,5,1,5,1,,,5,1,5,5,,,1,2,5,5,,,1,1,5,5,,
"코이카의 '우즈베키스탄 방송시스템 사업', 아시아물위원회의 '우즈벡-키르기즈스탄 관개시스템 사업', 수출입은행의 '모잠비크 ITS 타당성 조사 사업'은 모두 중앙 및 해외 기관 원조 형식으로 수행되는 사업입니다. 이 세 사업의 주 대상국과 핵심 인프라 분야를 정리하고, 해당 예산 규모를 큰 금액부터 내림차순으로 나열하십시오.",B,[],2,3,3,,4,,2,3,3,,4,,5,2,5,1,,,5,1,5,5,,,1,3,3,5,,,1,2,5,5,,,1,2,1,1,,,1,4,5,5,,,1,2,5,2,,,1,2,1,1,,,1,2,1,5,,,1,2,1,5,,
한국가스공사의 '차세대 통합정보시스템(ERP) 구축' 사업에서 신규로 도입되는 SAP S/4 HANA 소프트웨어 라이선스의 구체적인 도입 수량(User Count) 및 계정 정책은 과업지시서 상 몇 개 유저로 명시되어 있습니까?,D,[],5,5,5,,2,,5,4,5,,2,,1,3,1,5,,,5,2,5,1,,,5,2,5,1,,,1,1,5,5,,,5,2,5,1,,,1,5,5,1,,,5,5,5,2,,,1,1,5,5,,,5,2,5,5,,,1,2,5,5,,
"아시아물위원회사무국의 '우즈벡-키르기즈스탄 스마트 관개시스템 사업' 내용 중, 전체 사업 범위의 40% 이상을 차지하는 최신형 스마트 농업용 토양 분석 센서 탑재 자율주행 드론 지원 사업의 상세 수행 기준과 편성된 할당 예산은 어떻게 기재되어 있습니까?",D,[],2,3,5,,2,,2,5,5,,1,,5,3,5,3,,,5,1,5,1,,,1,3,5,1,,,1,4,5,3,,,5,2,5,1,,,1,5,5,4,,,2,2,5,1,,,1,4,5,2,,,5,2,5,4,,,1,3,5,5,,
그렌드코리아레져(쥬)가 이번 연도에 츄진하는 2024년도 구룹웨에 씨스탬 구쭉 용역의 전체 에산은 대략 얼마입너가?,E,[],2,2,3,,1,,1,2,5,,1,,5,2,5,1,,,5,3,5,1,,,5,2,5,1,,,1,2,1,1,,,1,1,1,1,,,1,5,1,4,,,5,5,5,5,,,5,3,5,1,,,5,2,5,1,,,1,2,5,1,,
고대 차세대 ERP 말고 이번 학사 포털 플젝에서 메인으로 잡고 있는 레인지랑 타겟 베네핏이 어케 되는지 RFP 랩업해서 간략히 요약좀 해줄래?,E,[],3,4,1,,4,,5,2,5,,2,,5,3,5,1,,,5,1,5,1,,,5,1,5,1,,,1,3,1,1,,,1,2,1,1,,,1,3,1,1,,,4,4,5,3,,,1,2,1,1,,,5,2,5,1,,,1,2,1,1,,
한국가스공사의 차세대 통합정보시스템(ERP) 구축 사업의 신규 도입 S/W 중 전사 포털 및 업무 포털 부문이 있습니까?,A,[],5,5,5,,5,,5,5,5,,5,,5,2,5,1,,,5,3,5,1,,,5,3,5,1,,,1,4,1,1,,,1,5,1,4,,,1,5,1,1,,,5,5,5,5,,,1,5,1,1,,,1,5,1,1,,,1,5,1,1,,
고려대학교의 '차세대 포털·학사 정보시스템 구축사업'의 근본적인 추진 배경 중 하나로 꼽히는 대외적 교육환경 변화는 무엇인가요?,A,[],5,5,5,,2,,5,5,5,,3,,5,3,5,1,,,5,3,5,5,,,5,2,5,1,,,1,4,1,1,,,1,4,1,1,,,1,5,1,1,,,5,5,5,3,,,1,4,1,5,,,1,4,1,1,,,1,5,1,1,,
나노종합기술원이 도입하려는 '스마트 팹 서비스 활용체계 구축관련 설비온라인 시스템'의 기대효과 중 기업 측면에서의 긍정적 효과는 무엇입니까?,A,[],5,5,5,,5,,5,5,5,,5,,5,2,5,5,,,5,1,5,5,,,5,1,5,5,,,1,5,1,1,,,1,4,1,5,,,1,5,1,5,,,5,5,5,5,,,1,5,1,1,,,1,3,1,5,,,1,4,1,5,,
사단법인아시아물위원회사무국의 스마트 관개시스템 구축사업을 성공적으로 완수할 경우 혁신적인 스마트 기술이 어떤 자연재해의 현장 관리에 도입되나요?,A,[],3,3,5,,2,,2,1,5,,1,,5,1,5,1,,,5,2,5,1,,,1,1,5,1,,,1,1,5,1,,,5,1,5,1,,,1,2,5,1,,,2,1,5,1,,,1,1,5,1,,,3,1,5,1,,,1,2,5,1,,
그랜드코리아레저(주)의 그룹웨어 도입 사업의 주요 추진 배경 세 가지는 시스템 노후화 개선 조치 외에 또 어떤 것들이 기재되어 있습니까?,A,[],4,3,3,,5,,5,3,1,,5,,4,5,5,4,,,5,5,5,5,,,4,3,5,5,,,5,5,5,5,,,5,5,1,5,,,3,3,5,5,,,5,5,5,5,,,5,5,5,5,,,5,5,5,5,,,3,5,5,5,,
국립중앙의료원 사업에서 '차세대 응급의료 상황관리 콜센터' 구축에 9억 원이 소요되고 나머지 예산을 모두 '통신장비 도입'에 사용한다고 전제했을 때 이 통신장비 도입에 투입되는 잔여 예산 비율은 총 사업 예산 대비 대략 몇 %인가요?,A,[],1,2,5,,1,,1,1,1,,1,,5,1,5,4,,,5,1,5,5,,,1,2,5,5,,,1,2,5,5,,,5,1,5,1,,,1,1,5,5,,,2,1,5,1,,,1,3,3,5,,,1,1,1,5,,,1,5,1,5,,
"한국가스공사의 '차세대 ERP 구축'과 코이카의 '우즈베키스탄 방송시스템 사업' 중, 해외 지역을 대상으로 기술 인프라를 이전하거나 구축하는 사업은 무엇입니까?",B,[],4,2,1,,2,,2,3,5,,2,,1,5,1,4,,,1,1,1,5,,,1,5,1,5,,,5,1,5,5,,,1,2,1,5,,,1,4,1,2,,,2,2,3,2,,,5,1,5,5,,,1,2,1,1,,,1,3,3,4,,
"고려대학교의 사업은 학사 시스템 최적화를, 한국수자원공사의 용수공급사업 타당성조사는 물리적인 용수(물) 관리 인프라 타당성을 다룹니다. 두 사업의 투입 예산 중 학사 시스템 최적화 사업의 예산 금액은 수자원공사 대비 얼마 더 큽니까?",B,[],1,3,5,,2,,3,2,5,,2,,1,5,1,5,,,5,1,5,5,,,1,1,5,5,,,1,2,5,5,,,5,1,5,1,,,1,1,5,5,,,1,5,5,2,,,5,1,5,1,,,5,1,5,1,,,1,2,5,5,,
나노종합기술원의 '스마트 팹 서비스 설비온라인 사업'과 인천광역시의 '도시계획위원회 통합관리시스템 구축용역' 예산 차액 규모는 명시된 기준으로 얼마입니까?,B,[],1,2,5,,1,,1,1,1,,1,,1,5,1,1,,,5,1,5,5,,,1,3,5,5,,,1,1,5,1,,,5,2,5,5,,,1,2,5,1,,,5,3,5,2,,,1,1,5,5,,,5,2,5,5,,,1,2,5,1,,
그랜드코리아레저(주)의 그룹웨어 시스템 구축 예산과 한국원자력연구원의 선량평가시스템 고도화 예산을 단순 더하면 편성 총액 합계가 얼마인가요?,B,[],5,3,5,,3,,3,3,5,,3,,1,3,5,1,,,5,1,1,3,,,2,3,5,3,,,1,3,3,3,,,1,3,1,3,,,1,3,1,3,,,1,3,5,4,,,1,4,5,3,,,1,1,5,2,,,2,3,3,1,,
"(사)부산국제영화제의 2024년도 온라인서비스 재개발 사업과 국립중앙의료원의 차세대 응급의료 상황관리시스템 사업의 각 수행 목적상, 가장 대비되게 강조되는 개선 집중 포인트를 요약 비교하십시오.",B,[],1,1,5,,1,,1,1,5,,1,,5,1,5,5,,,5,1,5,4,,,5,2,5,5,,,1,3,5,5,,,5,1,5,4,,,1,2,5,5,,,3,2,5,4,,,1,2,5,1,,,5,2,5,2,,,1,3,5,2,,
한국수출입은행의 지능형교통시스템 사업타당성조사와 아시아물위원회의 스마트 관개시스템 구축사업이 공통적으로 목표 지원하는 수행 대상 국가 지역을 대조해 정리해 주십시오.,B,[],2,2,5,,1,,2,2,5,,2,,5,1,5,1,,,5,2,5,1,,,1,1,5,2,,,5,2,5,1,,,1,1,1,2,,,1,3,5,1,,,1,2,5,1,,,5,2,5,1,,,1,2,5,4,,,1,2,5,2,,
"고려대학교(112억), 코이카(67억), 아시아물위원회(50억)의 3개 사업은 모두 50억 원을 상당하게 초과하는 대형 사업입니다. 이 세 공공형 사업의 과제 요약문을 토대로, 각기 어떠한 커다란 거시적 형태의 사회 변화나 기후-인프라 위기 현 상황을 극복 해결하려 핵심 기획되었는지 서술하고 예산 종합 금액을 밝혀 주십시오.",B,[],1,2,5,,2,,1,1,5,,1,,5,2,5,1,,,5,2,5,5,,,1,2,1,1,,,5,2,5,1,,,1,2,3,5,,,1,3,5,1,,,1,2,5,2,,,5,2,5,1,,,5,3,5,5,,,1,2,5,1,,
"한국가스공사의 '차세대 통합정보시스템', 나노종합기술원의 '설비온라인 시스템', 그랜드코리아레저의 '그룹웨어 시스템' 3개 인프라 전산화 구축 사업의 사업 목적을 공통 관점에서 살펴보았을 때, 이들이 근원적으로 동일하게 쟁점화하고 전환 지향하고 있는 '업무적 궁극적 개선 효과'가 무엇인지 짚고 해당 세 기관 중 가장 낮은 예산을 투입하는 기관명만 정확히 기재하십시오.",B,[],4,2,5,,3,,3,2,3,,5,,5,2,5,5,,,5,1,5,1,,,1,5,1,1,,,1,2,3,1,,,1,2,1,1,,,1,2,3,5,,,1,2,3,4,,,1,2,3,5,,,1,3,1,3,,,1,2,5,1,,
한국수자원공사의 '용인 첨단 시스템반도체 국가산단 용수공급사업 타당성조사' 수주를 위해서 주관 입찰 제안사는 국가 계약 서류에 반드시 최근 3년 내 반도체 관련 산학 정부 포상 이력을 기명해야 합니까?,D,[],3,2,3,,1,,5,4,5,,2,,5,2,5,1,,,5,2,5,1,,,1,2,5,1,,,1,2,5,1,,,5,2,5,1,,,5,2,5,5,,,1,4,5,2,,,2,2,5,1,,,5,3,5,1,,,5,2,5,1,,
나노종합기술원이 발주한 '스마트 팹 서비스 활용체계 구축관련 설비온라인 시스템 구축 용역'에 공동 참가 의향을 밝히는 IT 업계의 평균적인 최저 업력 제한 기간 법규나 지침이 존재하나요?,D,[],4,4,5,,1,,5,3,5,,1,,5,2,5,1,,,5,2,5,2,,,1,3,5,1,,,1,2,5,1,,,5,2,5,2,,,5,3,5,2,,,3,3,5,1,,,3,3,5,2,,,5,2,5,1,,,1,2,5,1,,
물위원회 우즈백 키르기 스마트 관개 플젝 할때 양수장이랑 펌프 쪽 F/S 문서 리뷰만 말고 진짜 실제 시공이나 기자재 딜리버리도 찐으로 들어가나요 스코프에?,E,[],2,3,5,,1,,3,4,3,,2,,5,1,5,1,,,5,1,5,1,,,1,3,1,1,,,1,3,5,1,,,5,2,5,1,,,1,4,1,1,,,4,4,5,2,,,1,3,5,1,,,5,2,5,1,,,1,3,5,1,,
